time_s,phase,target_x_m,target_y_m,target_z_m,actual_x_m,actual_y_m,actual_z_m,error_x_m,error_y_m,error_z_m,error_xy_m,error_3d_m,roll_deg,pitch_deg,yaw_deg,vbat_v
9.548,forward,0.4402,0.0000,0.4000,-0.0010,0.0004,0.0107,0.4412,-0.0004,0.3893,0.4412,0.5884,1.010,0.410,0.748,3.700
9.613,forward,0.4468,0.0000,0.4000,-0.0012,0.0005,0.0100,0.4479,-0.0005,0.3900,0.4479,0.5939,1.010,0.399,0.751,3.700
9.743,forward,0.4598,0.0000,0.4000,-0.0003,0.0005,0.0109,0.4601,-0.0005,0.3891,0.4601,0.6026,0.999,0.391,0.752,3.700
9.810,forward,0.4665,0.0000,0.4000,-0.0012,0.0016,0.0106,0.4677,-0.0016,0.3894,0.4677,0.6086,0.999,0.370,0.755,3.700
9.909,forward,0.4764,0.0000,0.4000,-0.0012,0.0004,0.0108,0.4776,-0.0004,0.3892,0.4776,0.6161,0.976,0.383,0.753,3.700
10.012,forward,0.4867,0.0000,0.4000,-0.0004,0.0010,0.0104,0.4870,-0.0010,0.3896,0.4870,0.6237,1.005,0.385,0.756,3.700
10.144,forward,0.4999,0.0000,0.4000,-0.0010,0.0001,0.0106,0.5009,-0.0001,0.3894,0.5009,0.6344,0.993,0.371,0.752,3.700
10.213,forward,0.5000,0.0000,0.4000,-0.0010,0.0007,0.0108,0.5010,-0.0007,0.3892,0.5010,0.6345,1.016,0.379,0.751,3.706
10.310,forward,0.5000,0.0000,0.4000,-0.0005,0.0006,0.0107,0.5005,-0.0006,0.3893,0.5005,0.6341,1.009,0.374,0.752,3.700
10.410,forward,0.5000,0.0000,0.4000,-0.0009,0.0001,0.0095,0.5009,-0.0001,0.3905,0.5009,0.6352,1.004,0.352,0.756,3.706
10.520,forward hover,0.5000,0.0000,0.4000,-0.0010,0.0001,0.0102,0.5010,-0.0001,0.3898,0.5010,0.6348,1.020,0.372,0.759,3.706
10.610,forward hover,0.5000,0.0000,0.4000,-0.0010,0.0001,0.0109,0.5010,-0.0001,0.3891,0.5010,0.6344,1.013,0.375,0.761,3.706
10.718,forward hover,0.5000,0.0000,0.4000,-0.0011,0.0001,0.0099,0.5011,-0.0001,0.3901,0.5011,0.6350,1.010,0.370,0.759,3.706
10.810,forward hover,0.5000,0.0000,0.4000,-0.0011,0.0004,0.0105,0.5011,-0.0004,0.3895,0.5011,0.6347,1.014,0.376,0.762,3.706
10.921,forward hover,0.5000,0.0000,0.4000,-0.0011,0.0005,0.0114,0.5011,-0.0005,0.3886,0.5011,0.6341,1.004,0.378,0.769,3.700
11.010,forward hover,0.5000,0.0000,0.4000,-0.0012,0.0006,0.0112,0.5012,-0.0006,0.3888,0.5012,0.6343,0.992,0.375,0.774,3.706
11.128,forward hover,0.5000,0.0000,0.4000,-0.0012,0.0005,0.0116,0.5012,-0.0005,0.3884,0.5012,0.6341,0.985,0.385,0.780,3.706
11.211,forward hover,0.5000,0.0000,0.4000,-0.0013,0.0000,0.0123,0.5013,-0.0000,0.3877,0.5013,0.6338,0.983,0.383,0.783,3.700
11.323,forward hover,0.5000,0.0000,0.4000,-0.0013,-0.0000,0.0118,0.5013,0.0000,0.3882,0.5013,0.6340,0.995,0.383,0.790,3.706
11.410,forward hover,0.5000,0.0000,0.4000,-0.0013,-0.0001,0.0111,0.5013,0.0001,0.3889,0.5013,0.6345,0.993,0.374,0.792,3.706
11.522,forward hover,0.5000,0.0000,0.4000,-0.0013,0.0000,0.0096,0.5013,-0.0000,0.3904,0.5013,0.6354,0.997,0.375,0.795,3.700
11.609,forward hover,0.5000,0.0000,0.4000,-0.0013,0.0005,0.0089,0.5013,-0.0005,0.3911,0.5013,0.6358,0.992,0.379,0.797,3.700
11.720,forward hover,0.5000,0.0000,0.4000,-0.0013,0.0001,0.0093,0.5013,-0.0001,0.3907,0.5013,0.6356,0.977,0.389,0.805,3.706
11.840,left,0.5000,0.0040,0.4000,-0.0007,0.0007,0.0103,0.5007,0.0033,0.3897,0.5007,0.6344,0.988,0.385,0.803,3.700
11.910,left,0.5000,0.0111,0.4000,-0.0013,0.0005,0.0109,0.5013,0.0106,0.3891,0.5014,0.6347,0.981,0.369,0.807,3.706
12.010,left,0.5000,0.0210,0.4000,-0.0013,-0.0001,0.0113,0.5013,0.0211,0.3887,0.5018,0.6347,0.985,0.383,0.807,3.700
12.121,left,0.5000,0.0321,0.4000,-0.0013,-0.0001,0.0108,0.5013,0.0322,0.3892,0.5024,0.6355,1.000,0.373,0.808,3.700
12.209,left,0.5000,0.0409,0.4000,-0.0014,-0.0001,0.0111,0.5014,0.0410,0.3889,0.5030,0.6358,0.993,0.381,0.808,3.700
12.318,left,0.5000,0.0518,0.4000,-0.0009,-0.0001,0.0101,0.5009,0.0519,0.3899,0.5036,0.6369,0.993,0.390,0.807,3.700
12.409,left,0.5000,0.0609,0.4000,-0.0009,-0.0000,0.0094,0.5009,0.0609,0.3906,0.5046,0.6382,0.995,0.375,0.808,3.700
12.522,left,0.5000,0.0722,0.4000,-0.0009,0.0004,0.0101,0.5009,0.0717,0.3899,0.5060,0.6388,0.986,0.375,0.814,3.706
12.610,left,0.5000,0.0810,0.4000,-0.0013,0.0001,0.0094,0.5013,0.0809,0.3906,0.5078,0.6407,0.975,0.375,0.814,3.706
12.719,left,0.5000,0.0919,0.4000,-0.0013,0.0001,0.0092,0.5013,0.0918,0.3908,0.5097,0.6423,0.988,0.381,0.815,3.700
12.809,left,0.5000,0.1009,0.4000,-0.0014,0.0006,0.0106,0.5014,0.1004,0.3894,0.5114,0.6427,0.993,0.387,0.822,3.700
12.934,left,0.5000,0.1135,0.4000,-0.0014,0.0001,0.0111,0.5014,0.1133,0.3889,0.5141,0.6446,0.970,0.382,0.822,3.700
13.010,left,0.5000,0.1210,0.4000,-0.0016,0.0003,0.0110,0.5016,0.1207,0.3890,0.5159,0.6461,0.996,0.379,0.823,3.700
13.144,left,0.5000,0.1344,0.4000,-0.0014,0.0001,0.0108,0.5014,0.1343,0.3892,0.5191,0.6488,0.991,0.378,0.827,3.700
13.210,left,0.5000,0.1410,0.4000,-0.0009,0.0001,0.0108,0.5009,0.1409,0.3892,0.5203,0.6498,0.997,0.371,0.827,3.700
13.341,left,0.5000,0.1541,0.4000,-0.0014,0.0001,0.0120,0.5014,0.1540,0.3880,0.5245,0.6524,0.997,0.361,0.834,3.700
13.411,left,0.5000,0.1611,0.4000,-0.0014,0.0006,0.0108,0.5014,0.1605,0.3892,0.5264,0.6547,0.993,0.374,0.836,3.700
13.522,left,0.5000,0.1722,0.4000,-0.0014,0.0001,0.0099,0.5014,0.1722,0.3901,0.5301,0.6582,0.981,0.371,0.839,3.700
13.624,left,0.5000,0.1824,0.4000,-0.0014,0.0001,0.0107,0.5014,0.1824,0.3893,0.5335,0.6604,0.995,0.370,0.838,3.700
13.710,left,0.5000,0.1910,0.4000,-0.0013,0.0000,0.0105,0.5013,0.1910,0.3895,0.5365,0.6630,0.993,0.369,0.834,3.700
13.822,left,0.5000,0.2022,0.4000,-0.0013,0.0000,0.0110,0.5013,0.2022,0.3890,0.5406,0.6660,0.993,0.361,0.831,3.706
13.908,left,0.5000,0.2109,0.4000,-0.0013,-0.0000,0.0103,0.5013,0.2109,0.3897,0.5439,0.6691,0.990,0.367,0.829,3.700
14.015,left,0.5000,0.2215,0.4000,-0.0013,0.0000,0.0098,0.5013,0.2215,0.3902,0.5481,0.6728,0.988,0.374,0.835,3.706
14.109,left,0.5000,0.2309,0.4000,-0.0013,0.0001,0.0103,0.5013,0.2308,0.3897,0.5519,0.6756,0.980,0.376,0.838,3.700
14.228,left,0.5000,0.2428,0.4000,-0.0013,0.0004,0.0094,0.5013,0.2425,0.3906,0.5569,0.6802,0.984,0.377,0.840,3.700
14.309,left,0.5000,0.2510,0.4000,-0.0014,0.0000,0.0096,0.5014,0.2510,0.3904,0.5607,0.6832,0.975,0.373,0.845,3.700
14.416,left,0.5000,0.2616,0.4000,-0.0014,0.0000,0.0094,0.5014,0.2616,0.3906,0.5655,0.6873,0.992,0.378,0.852,3.700
14.510,left,0.5000,0.2710,0.4000,-0.0010,0.0001,0.0109,0.5010,0.2709,0.3891,0.5695,0.6897,0.999,0.381,0.856,3.700
14.627,left,0.5000,0.2827,0.4000,-0.0015,0.0000,0.0113,0.5015,0.2827,0.3887,0.5757,0.6946,0.986,0.362,0.861,3.700
14.710,left,0.5000,0.2910,0.4000,-0.0015,0.0000,0.0107,0.5015,0.2910,0.3893,0.5798,0.6983,0.988,0.383,0.862,3.700
14.826,left,0.5000,0.3026,0.4000,-0.0009,0.0008,0.0100,0.5009,0.3018,0.3900,0.5848,0.7029,0.987,0.383,0.862,3.700
14.909,left,0.5000,0.3109,0.4000,-0.0010,-0.0000,0.0108,0.5010,0.3109,0.3892,0.5896,0.7065,0.965,0.364,0.866,3.700
15.026,left,0.5000,0.3226,0.4000,-0.0010,0.0004,0.0094,0.5010,0.3222,0.3906,0.5956,0.7123,0.992,0.360,0.865,3.706
15.109,left,0.5000,0.3309,0.4000,-0.0014,-0.0000,0.0098,0.5014,0.3309,0.3902,0.6008,0.7164,0.980,0.366,0.870,3.700
15.222,left,0.5000,0.3422,0.4000,-0.0015,-0.0000,0.0103,0.5015,0.3422,0.3897,0.6071,0.7215,0.990,0.374,0.875,3.700
15.316,left,0.5000,0.3516,0.4000,-0.0010,0.0000,0.0104,0.5010,0.3516,0.3896,0.6121,0.7255,0.993,0.380,0.876,3.700
15.425,left,0.5000,0.3625,0.4000,-0.0011,0.0005,0.0107,0.5011,0.3620,0.3893,0.6181,0.7305,0.988,0.371,0.877,3.700
15.519,left,0.5000,0.3719,0.4000,-0.0011,-0.0001,0.0115,0.5011,0.3720,0.3885,0.6241,0.7351,0.971,0.366,0.878,3.700
15.634,left,0.5000,0.3834,0.4000,-0.0011,-0.0001,0.0102,0.5011,0.3834,0.3898,0.6310,0.7417,0.985,0.364,0.879,3.700
15.711,left,0.5000,0.3911,0.4000,-0.0016,-0.0000,0.0102,0.5016,0.3912,0.3898,0.6361,0.7460,0.989,0.365,0.884,3.700
15.808,left,0.5000,0.4009,0.4000,-0.0016,0.0004,0.0103,0.5016,0.4004,0.3897,0.6418,0.7509,0.985,0.378,0.886,3.700
15.918,left,0.5000,0.4118,0.4000,-0.0011,0.0004,0.0108,0.5011,0.4114,0.3892,0.6483,0.7562,0.982,0.380,0.888,3.700
16.008,left,0.5000,0.4208,0.4000,-0.0016,-0.0001,0.0110,0.5016,0.4209,0.3890,0.6548,0.7616,0.984,0.360,0.892,3.700
16.117,left,0.5000,0.4317,0.4000,-0.0011,-0.0000,0.0117,0.5011,0.4317,0.3883,0.6614,0.7670,0.998,0.372,0.893,3.700
16.214,left,0.5000,0.4414,0.4000,-0.0015,-0.0000,0.0111,0.5015,0.4415,0.3889,0.6682,0.7731,0.995,0.365,0.897,3.700
16.325,left,0.5000,0.4525,0.4000,-0.0016,0.0007,0.0104,0.5016,0.4518,0.3896,0.6750,0.7794,0.992,0.372,0.897,3.700
16.412,left,0.5000,0.4612,0.4000,-0.0015,0.0002,0.0099,0.5015,0.4610,0.3901,0.6812,0.7850,0.975,0.380,0.898,3.700
16.508,left,0.5000,0.4708,0.4000,-0.0015,0.0002,0.0103,0.5015,0.4706,0.3897,0.6877,0.7905,0.994,0.378,0.900,3.700
16.616,left,0.5000,0.4816,0.4000,-0.0015,0.0000,0.0101,0.5015,0.4815,0.3899,0.6953,0.7971,1.001,0.371,0.904,3.700
16.708,left,0.5000,0.4908,0.4000,-0.0010,0.0001,0.0101,0.5010,0.4907,0.3899,0.7012,0.8024,1.004,0.369,0.906,3.700
16.820,left,0.5000,0.5000,0.4000,-0.0009,0.0002,0.0105,0.5009,0.4998,0.3895,0.7076,0.8077,0.997,0.359,0.912,3.700
16.908,left,0.5000,0.5000,0.4000,-0.0015,0.0006,0.0118,0.5015,0.4994,0.3882,0.7077,0.8072,0.995,0.357,0.915,3.700
17.025,left,0.5000,0.5000,0.4000,-0.0016,0.0002,0.0108,0.5016,0.4998,0.3892,0.7081,0.8080,0.984,0.377,0.917,3.700
17.119,left,0.5000,0.5000,0.4000,-0.0016,0.0011,0.0104,0.5016,0.4989,0.3896,0.7075,0.8077,0.995,0.376,0.918,3.700
17.221,left hover,0.5000,0.5000,0.4000,-0.0007,0.0002,0.0113,0.5007,0.4998,0.3887,0.7074,0.8072,0.972,0.388,0.925,3.700
