time_s,z_down_m
103.834,0.063
103.897,0.08
103.997,0.087
104.164,0.054
104.215,0.006
104.297,0.06
104.397,0.071
104.499,1.839
104.598,2.756
104.697,2.789
