time_s,z_down_m
18.665,0.508
18.719,0.509
18.819,0.509
18.956,0.508
19.018,0.51
19.119,0.51
19.219,0.508
19.343,0.507
19.419,0.508
19.519,0.504
19.622,0.503
19.718,0.501
19.818,0.504
19.923,0.504
20.019,0.508
20.118,0.505
20.237,0.508
20.319,0.51
20.419,0.509
20.574,0.505
20.619,0.505
20.718,0.504
20.818,0.507
20.925,0.508
21.018,0.507
21.119,0.505
21.22,0.501
21.319,0.505
21.419,0.501
21.518,0.505
21.618,0.508
21.719,0.508
21.832,0.505
21.918,0.507
22.018,0.508
22.147,0.507
22.218,0.508
22.318,0.507
22.46,0.5
22.517,0.499
22.617,0.501
22.761,0.505
22.819,0.51
22.918,0.508
23.019,0.508
23.12,0.505
23.217,0.505
23.318,0.501
23.418,0.503
23.517,0.501
23.618,0.508
23.718,0.507
23.818,0.505
23.918,0.504
24.034,0.505
24.126,0.503
24.218,0.505
24.347,0.504
24.421,0.505
24.518,0.507
24.663,0.503
24.718,0.505
24.818,0.501
24.937,0.501
25.017,0.504
25.118,0.505
25.228,0.505
25.32,0.505
25.418,0.503
25.518,0.505
25.633,0.505
25.717,0.505
25.817,0.505
25.922,0.507
26.018,0.501
26.118,0.505
26.219,0.504
26.319,0.505
26.419,0.504
26.533,0.505
26.619,0.505
26.717,0.505
26.847,0.509
26.916,0.505
27.017,0.503
27.161,0.501
27.217,0.503
27.316,0.5
27.468,0.499
27.531,0.501
27.617,0.499
27.717,0.501
27.823,0.505
27.916,0.501
28.016,0.501
28.116,0.498
28.217,0.499
28.317,0.498
28.428,0.505
28.517,0.504
28.617,0.505
28.742,0.505
28.815,0.498
28.916,0.501
29.048,0.499
29.124,0.498
29.216,0.504
29.36,0.507
29.422,0.504
29.516,0.505
29.615,0.505
29.725,0.503
29.816,0.503
29.916,0.503
30.017,0.501
30.117,0.501
30.216,0.501
30.317,0.505
30.415,0.503
30.515,0.504
30.629,0.499
30.716,0.496
30.816,0.493
30.942,0.493
31.015,0.494
31.116,0.494
31.256,0.493
31.328,0.496
31.415,0.497
31.546,0.497
31.617,0.498
31.716,0.501
31.816,0.503
31.92,0.5
32.015,0.497
32.116,0.496
32.221,0.5
32.315,0.499
32.415,0.501
32.517,0.498
32.615,0.498
32.717,0.501
32.832,0.503
32.919,0.507
33.015,0.505
33.147,0.509
33.214,0.504
33.315,0.501
33.461,0.495
33.515,0.498
33.615,0.498
33.74,0.495
33.816,0.495
33.915,0.496
34.014,0.501
34.115,0.504
34.215,0.505
34.314,0.508
34.414,0.505
34.515,0.505
34.614,0.501
34.725,0.501
34.815,0.501
34.914,0.501
35.04,0.505
35.123,0.509
35.214,0.508
35.355,0.507
35.419,0.505
35.514,0.504
35.664,0.499
35.72,0.5
35.814,0.5
35.914,0.5
36.016,0.499
36.115,0.496
36.214,0.497
36.317,0.495
36.414,0.496
36.514,0.498
36.616,0.5
36.713,0.498
36.814,0.497
36.915,0.5
37.014,0.498
37.114,0.5
37.228,0.494
37.313,0.494
37.414,0.497
37.548,0.497
37.613,0.5
37.713,0.5
37.862,0.507
37.913,0.503
38.013,0.5
38.149,0.496
38.22,0.498
38.316,0.501
38.415,0.503
38.518,0.498
38.616,0.5
38.715,0.501
38.818,0.498
38.913,0.499
39.013,0.5
39.127,0.505
39.218,0.498
39.313,0.499
39.438,0.496
39.518,0.497
39.613,0.501
39.751,0.499
39.812,0.501
39.913,0.496
40.065,0.496
40.128,0.498
40.213,0.5
40.323,0.5
40.422,0.497
40.512,0.501
40.613,0.498
40.722,0.501
40.813,0.496
40.912,0.499
41.013,0.5
41.112,0.501
41.212,0.505
41.32,0.51
41.412,0.509
41.512,0.505
41.635,0.507
41.712,0.501
41.812,0.503
41.951,0.5
42.012,0.5
42.112,0.496
42.261,0.494
42.318,0.494
42.412,0.501
42.511,0.498
42.613,0.499
42.712,0.501
42.812,0.497
42.914,0.497
43.012,0.5
43.111,0.499
43.22,0.505
43.312,0.505
43.413,0.505
43.531,0.5
43.613,0.495
43.712,0.501
43.849,0.501
43.913,0.501
44.012,0.499
44.155,0.501
44.212,0.497
44.312,0.501
44.462,0.499
44.523,0.499
44.612,0.499
44.712,0.501
44.817,0.501
44.911,0.501
45.011,0.504
45.111,0.505
45.212,0.504
45.311,0.501
45.418,0.501
45.517,0.501
45.612,0.501
45.733,0.504
45.813,0.497
45.912,0.499
46.048,0.498
46.114,0.501
46.211,0.5
46.363,0.501
46.412,0.5
46.51,0.501
46.621,0.488
46.716,0.454
46.812,0.442
46.911,0.454
47.01,0.483
47.111,0.53
47.21,0.571
47.318,0.588
47.41,0.578
47.51,0.544
47.637,0.504
47.723,0.464
47.811,0.435
47.958,0.433
48.015,0.455
48.111,0.483
48.25,0.518
48.314,0.543
48.41,0.556
48.511,0.563
48.61,0.554
48.711,0.533
48.81,0.505
48.915,0.487
49.01,0.476
49.11,0.472
49.237,0.477
49.329,0.481
49.41,0.487
49.543,0.491
49.632,0.491
49.71,0.496
49.868,0.496
49.923,0.501
50.01,0.497
50.11,0.503
50.222,0.501
50.31,0.501
50.41,0.501
50.513,0.5
50.61,0.501
50.709,0.501
50.838,0.501
50.913,0.5
51.01,0.498
51.157,0.495
51.222,0.501
51.31,0.501
51.41,0.5
51.522,0.499
51.609,0.499
51.71,0.5
51.811,0.499
51.909,0.498
52.01,0.495
52.125,0.476
52.209,0.448
52.309,0.434
52.443,0.435
52.536,0.463
52.609,0.495
52.742,0.526
52.823,0.544
52.909,0.553
53.009,0.546
53.122,0.535
53.209,0.525
53.309,0.516
53.415,0.51
53.508,0.505
53.609,0.505
53.74,0.505
53.808,0.498
53.909,0.495
54.058,0.497
54.123,0.499
54.209,0.5
54.361,0.505
54.418,0.499
54.509,0.496
54.608,0.493
54.709,0.498
54.809,0.493
54.908,0.493
55.022,0.49
55.108,0.489
55.209,0.49
55.343,0.494
55.408,0.498
55.509,0.498
55.66,0.496
55.716,0.497
55.809,0.508
55.919,0.542
56.013,0.57
56.108,0.575
56.208,0.544
56.311,0.505
56.408,0.469
56.509,0.45
56.617,0.447
56.726,0.457
56.807,0.466
56.934,0.472
57.023,0.486
57.108,0.49
57.233,0.496
57.319,0.497
57.408,0.495
57.561,0.496
57.617,0.495
57.708,0.493
57.809,0.497
57.913,0.498
58.007,0.497
58.108,0.499
58.216,0.5
58.307,0.499
58.407,0.5
58.545,0.497
58.608,0.496
58.708,0.497
58.857,0.497
58.915,0.5
59.007,0.503
59.107,0.499
59.208,0.498
59.307,0.499
59.408,0.499
59.519,0.496
59.607,0.5
59.708,0.5
59.847,0.498
59.92,0.5
60.008,0.503
60.163,0.504
60.219,0.503
60.307,0.505
60.407,0.497
60.51,0.499
60.607,0.489
60.708,0.466
60.818,0.449
60.931,0.439
61.007,0.45
61.136,0.481
61.206,0.514
61.308,0.533
61.447,0.549
61.528,0.548
61.606,0.545
61.731,0.531
61.812,0.519
61.906,0.512
62.007,0.503
62.108,0.494
62.207,0.501
62.306,0.5
62.418,0.505
62.507,0.52
62.607,0.542
62.757,0.562
62.816,0.569
62.906,0.547
63.017,0.512
63.122,0.476
63.206,0.453
63.306,0.453
63.408,0.46
63.506,0.468
63.606,0.475
63.721,0.488
63.805,0.499
63.906,0.503
64.039,0.504
64.109,0.498
64.207,0.495
64.352,0.492
64.414,0.494
64.506,0.495
64.631,0.499
64.712,0.501
64.805,0.505
64.906,0.505
65.008,0.504
65.106,0.501
65.206,0.497
65.321,0.497
65.417,0.494
65.505,0.494
65.647,0.499
65.71,0.503
65.805,0.501
65.916,0.501
66.015,0.504
66.106,0.501
66.205,0.499
66.311,0.499
66.405,0.498
66.505,0.501
66.613,0.501
66.707,0.501
66.806,0.5
66.936,0.498
67.008,0.498
67.105,0.496
67.26,0.499
67.323,0.5
67.405,0.501
67.504,0.501
67.609,0.499
67.705,0.501
67.804,0.497
67.906,0.501
68.004,0.498
68.105,0.501
68.211,0.501
68.304,0.5
68.404,0.498
68.526,0.5
68.618,0.5
68.705,0.503
68.845,0.505
68.924,0.501
69.004,0.505
69.135,0.5
69.212,0.504
69.305,0.504
69.405,0.501
69.504,0.5
69.604,0.499
69.705,0.498
69.816,0.501
69.904,0.503
70.004,0.499
70.131,0.501
70.203,0.501
70.305,0.501
70.449,0.503
70.512,0.499
70.605,0.499
70.73,0.5
70.809,0.497
70.904,0.498
71.004,0.497
71.106,0.496
71.204,0.497
71.304,0.501
71.42,0.501
71.504,0.501
71.605,0.499
71.74,0.499
71.81,0.496
71.905,0.497
72.062,0.497
72.112,0.498
72.204,0.5
72.303,0.501
72.409,0.503
72.503,0.5
72.604,0.505
72.705,0.505
72.804,0.501
72.903,0.504
73.028,0.505
73.112,0.505
73.203,0.505
73.347,0.507
73.408,0.504
73.504,0.5
73.623,0.504
73.716,0.5
73.803,0.5
73.903,0.501
74.014,0.501
74.103,0.501
74.203,0.501
74.306,0.503
74.403,0.501
74.502,0.504
74.619,0.505
74.712,0.507
74.803,0.505
74.946,0.503
75.005,0.501
75.103,0.501
75.238,0.501
75.313,0.501
75.403,0.499
75.503,0.501
75.602,0.5
75.702,0.497
75.803,0.5
75.907,0.494
76.003,0.496
76.103,0.497
76.226,0.498
76.303,0.5
76.402,0.5
76.524,0.5
76.61,0.496
76.703,0.499
76.868,0.501
76.901,0.501
77.002,0.501
77.102,0.501
77.202,0.503
77.303,0.5
77.402,0.501
77.51,0.497
77.62,0.499
77.703,0.495
77.823,0.499
77.901,0.498
78.002,0.497
78.148,0.497
78.205,0.498
78.302,0.5
78.418,0.498
78.503,0.499
78.602,0.497
78.702,0.497
78.808,0.499
78.912,0.499
79.002,0.5
79.139,0.497
79.213,0.499
79.302,0.501
79.434,0.5
79.507,0.498
79.602,0.5
79.702,0.496
79.808,0.492
79.901,0.487
80.002,0.468
80.105,0.445
80.201,0.416
80.301,0.379
80.435,0.332
80.501,0.283
80.601,0.23
80.755,0.19
80.814,0.139
80.901,0.1
81.001,0.059
81.106,0.027
81.201,0.009
81.302,0.0
81.417,0.0
81.5,0.002
81.601,0.004
81.743,0.004
81.804,0.005
81.902,0.005
82.063,0.004
82.114,0.002
82.201,0.0
82.301,0.002
82.403,0.004
82.5,0.009
82.6,0.006
82.705,0.002
82.8,0.0
82.901,0.0
83.028,0.028
83.106,0.07
83.201,0.113
83.351,0.135
83.408,0.162
83.501,0.196
83.601,0.234
83.706,0.269
83.8,0.314
83.9,0.347
84.005,0.381
84.1,0.408
84.2,0.433
84.326,0.448
84.4,0.46
84.5,0.47
84.649,0.481
84.712,0.492
84.799,0.508
84.92,0.51
85.015,0.517
85.099,0.524
85.2,0.528
85.301,0.531
85.399,0.537
85.5,0.544
85.623,0.547
85.719,0.545
85.801,0.546
85.948,0.551
86.009,0.556
86.099,0.557
86.204,0.561
86.305,0.562
86.405,0.559
86.5,0.557
86.61,0.553
86.699,0.552
86.8,0.553
86.941,0.554
87.001,0.557
87.099,0.557
87.207,0.557
87.321,0.552
87.4,0.55
87.499,0.552
87.602,0.548
87.698,0.552
87.8,0.548
87.932,0.55
87.999,0.548
88.099,0.549
88.252,0.552
88.318,0.555
88.398,0.558
88.499,0.555
88.605,0.553
88.698,0.554
88.799,0.55
88.915,0.546
88.998,0.541
89.098,0.539
89.245,0.536
89.303,0.533
89.399,0.531
89.536,0.534
89.604,0.533
89.699,0.533
89.8,0.527
89.901,0.524
89.998,0.52
90.098,0.518
90.229,0.516
90.313,0.521
90.398,0.523
90.556,0.53
90.603,0.533
90.698,0.533
90.799,0.535
90.9,0.53
91.0,0.532
91.1,0.531
91.21,0.529
91.298,0.529
91.398,0.53
91.539,0.527
91.6,0.523
91.698,0.517
91.863,0.516
91.899,0.515
91.998,0.515
92.098,0.514
92.198,0.513
92.298,0.513
92.399,0.515
92.528,0.516
92.597,0.516
92.698,0.515
92.855,0.513
92.911,0.516
92.997,0.516
93.097,0.518
93.198,0.519
93.297,0.521
93.398,0.519
93.52,0.519
93.596,0.52
93.698,0.522
93.855,0.516
93.903,0.513
93.998,0.507
94.097,0.508
94.215,0.504
94.297,0.503
94.398,0.504
94.552,0.501
94.605,0.503
94.697,0.5
94.796,0.501
94.896,0.503
94.997,0.501
95.098,0.501
95.222,0.505
95.296,0.504
95.397,0.505
95.55,0.507
95.613,0.51
95.696,0.51
95.797,0.512
95.902,0.509
95.997,0.51
96.096,0.507
96.232,0.505
96.31,0.504
96.397,0.501
96.563,0.503
96.6,0.505
96.696,0.505
96.797,0.509
96.899,0.508
96.997,0.505
97.096,0.501
97.22,0.501
97.296,0.505
97.397,0.505
97.554,0.507
97.605,0.505
97.696,0.503
97.797,0.501
97.896,0.503
97.997,0.504
98.096,0.508
98.231,0.512
98.298,0.51
98.396,0.514
98.558,0.512
98.605,0.515
98.696,0.51
98.795,0.497
98.901,0.458
98.996,0.448
99.096,0.449
99.233,0.476
99.298,0.509
99.395,0.532
99.572,0.548
99.603,0.547
99.696,0.554
99.796,0.568
99.904,0.588
99.995,0.59
100.096,0.568
100.233,0.523
100.301,0.482
100.395,0.462
100.559,0.456
100.597,0.46
100.696,0.469
100.796,0.48
100.898,0.487
100.996,0.49
101.095,0.496
101.228,0.496
101.294,0.499
101.395,0.495
101.531,0.494
101.597,0.494
101.696,0.498
101.795,0.496
101.895,0.495
101.994,0.501
102.095,0.5
102.228,0.501
102.316,0.5
102.395,0.497
102.559,0.498
102.603,0.497
102.695,0.498
102.795,0.496
102.897,0.499
103.01,0.499
103.095,0.498
103.231,0.501
103.296,0.5
103.394,0.498
103.563,0.501
103.604,0.501
103.694,0.498
103.794,0.499
103.904,0.499
103.994,0.5
104.094,0.5
104.238,0.496
104.299,0.495
104.394,0.495
104.536,0.499
104.599,0.495
104.694,0.497
104.794,0.495
104.936,0.494
104.996,0.498
105.093,0.499
105.237,0.494
105.299,0.491
105.394,0.485
105.494,0.475
105.601,0.459
105.694,0.44
105.794,0.409
105.928,0.375
106.017,0.329
106.093,0.282
106.255,0.232
106.312,0.191
106.394,0.146
106.493,0.106
106.597,0.087
106.694,0.079
106.794,0.064
106.915,0.008
107.004,0.014
107.093,0.0
107.243,0.01
107.301,0.008
107.394,0.01
107.555,0.012
